指数,时间段,持有总收益(%),策略总收益(%),持有年化(%),策略年化(%),最大回撤(%),周数
沪深300,近5年,-7.8,-0.94,-1.64,-0.19,-17.29,255
沪深300,近3年,25.55,3.79,7.99,1.26,-11.08,154
沪深300,近1年,24.34,11.15,24.34,11.15,-6.77,52
沪深300,近6月,5.15,-3.81,11.01,-7.77,-5.57,25
沪深300,近3月,3.17,1.87,13.27,7.68,-1.54,13
创业板,近5年,19.99,60.67,3.79,10.15,-18.95,255
创业板,近3年,84.69,56.92,23.02,16.43,-18.95,154
创业板,近1年,94.07,44.17,94.07,44.17,-18.95,52
创业板,近6月,23.9,11.13,56.18,24.54,-4.12,25
创业板,近3月,19.57,14.76,104.37,73.46,-1.98,13
中证500,近5年,22.68,8.87,4.26,1.75,-24.49,255
中证500,近3年,37.3,26.08,11.3,8.14,-14.42,154
中证500,近1年,43.2,24.59,43.2,24.59,-9.92,52
中证500,近6月,15.08,-1.83,33.94,-3.78,-9.07,25
中证500,近3月,0.14,0.45,0.55,1.81,-5.1,13
